Plaza,Tienda,Zona,lat,lon,background_avg,best_effort_avg,video_avg,voice_avg
,,,37.4180951010362,-122.098531723022,null,null,null,null
10QRO,5073A,NORESTE,20.5544091,-100.417475,0,48,0,0
10NLA,50AX3,Laredo,27.4519955,-99.5424469,0,51.2,0,0
10QRO,50CGG,NORESTE,20.3923605,-100.0019369,0,6.33,1.5,0
10QRO,50WRJ,NORESTE,20.1917629,-100.1416828,0,85.33,0,0
10TMP,50WXT,NORESTE,21.9934558,-99.0237447,0,76.8,0,0
10TMP,50D30,NORESTE,22.1931247,-97.83451389999999,0,48,0,0
10QRO,50I2B,NORESTE,20.5450831,-100.4826976,0,42.67,0,0
10QRO,50UFE,NORESTE,20.591541,-100.3946362,0,3,0,0
10UMR,50ISP,Matamoros,23.7186039,-99.1790738,0,48,0,0
10QRO,50QLT,NORESTE,20.5804672,-100.4092184,0,6,0,0
10TMP,50N0P,NORESTE,22.2248459,-97.893405,0,42.67,0,0
10PGS,50H4M,NORESTE,28.4211123,-100.7800763,0,74.67,2.89,0
10NLA,50QNM,Laredo,27.5055857,-99.586072,0,85.33,0,0
10TMP,50TT2,NORESTE,22.0593605,-98.1808401,0,85.33,0,0
10TMP,50JFT,NORESTE,22.3105224,-97.8692265,0,42.67,0,0
10UMR,509CO,Matamoros,25.8670662,-97.5279034,0,48,0,0
10NLA,50OZR,Laredo,27.3884482,-99.5606961,0,24,0,0
10QRO,506SZ,NORESTE,20.4127898,-99.9951321,0,85.33,0,0
10TMP,50SAQ,NORESTE,22.2227757,-97.9167397,0,42.67,0,0
10PGS,50V45,NORESTE,28.3338261,-100.859877,0,80,0,0
10NLA,50KYZ,Laredo,27.4725694,-99.4872065,0,3.72,0,0
10QRO,50FTS,NORESTE,20.5222103,-100.8298177,0,85.33,0,0
10QRO,50QSP,NORESTE,21.2416872,-100.5839475,0,85.33,0,0
10UMR,50SJW,Matamoros,25.8287037,-97.4370158,0,48,0,0
10PGS,50DF4,NORESTE,28.6115023,-100.5762907,0,74.67,0,3
10QRO,50AK5,NORESTE,20.5860094,-100.352791,0,7,0,0
10TMP,50NXH,NORESTE,22.3356101,-97.8663498,0,6,0,0
10QRO,50MJD,NORESTE,20.5934548,-100.3486272,null,null,null,null
10QRO,503SH,NORESTE,20.5349527,-100.5323581,0,89.6,0,0
10TMP,500X5,NORESTE,22.4039481,-99.60306109999999,0,48,0,0
10TMP,508SU,NORESTE,22.3760308,-97.9136534,0,48,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10PGS,50HYB,NORESTE,28.7057541,-100.5179167,0,80,0,0
10UMR,50AWU,Matamoros,25.8267683,-97.5200565,0,48,0,0
10TMP,50KJU,NORESTE,22.2171884,-97.8553207,3,89.6,0,0
10TMP,50WM8,NORESTE,21.5161449,-98.38249669999999,0,57.6,0,0
10UMR,50DBK,Matamoros,25.6720185,-97.8201742,0,53.33,0,0
10QRO,50KXG,NORESTE,20.5890617,-100.4442,0,24,0,0
10QRO,50EXQ,NORESTE,20.5358076,-100.8138341,0,88,0,0
10QRO,50KWH,NORESTE,20.513188,-100.9322946,0,48,0,0
10NLA,50XGQ,Laredo,27.4727991,-99.5779864,0,40,0,0
10NLA,50RSV,Laredo,27.5126944,-99.5946845,0,48,0,3
10PGS,50VZH,NORESTE,28.679729,-100.5151253,0,96,0,0
10TMP,50LUL,NORESTE,22.2901825,-97.8513883,0,96,0,0
10NLA,50LCT,Laredo,27.463085,-99.52357459999999,0,6.23,0,0
10UMR,50AIE,Matamoros,25.8439873,-97.4802976,0,12,0,3
10QRO,50LAF,NORESTE,20.9142904,-100.7492947,0,96,0,0
10QRO,50JNX,NORESTE,20.5801721,-100.3591537,0,53.33,0,0
10QRO,50O1J,NORESTE,20.6442063,-100.4874975,0,96,0,0
10QRO,50FLH,NORESTE,20.6624629,-99.900104,0,72,0,0
10UMR,50XFN,Matamoros,25.8581656,-97.55942619999999,0,56,0,0
10UMR,50DQZ,Matamoros,23.7627227,-99.1676992,null,null,null,null
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10TMP,50CXO,NORESTE,21.6599071,-97.8501686,0,7.56,0,0
10UMR,50ESC,Matamoros,25.8368593,-97.4369947,0,7.56,0,0
